score,comment
9,"A good start!

Some first episodes like Wandavisiin was a turn off for me but got better!

Moonknight took a great start.

Oscar did a brilliant English accent, but like Chris Pratt did on Graham Norton show.

This series is going places, I know there will be highs and lows but this is a high!"
9,What an amazing first episode. The camera work was delightful the way it made me felt as confused as him was amazing. Plus the dialogue between himself sold it.
9,"Great! The mystery of the storey drew me in and kept me there. It touches on a very dark aspect (mental illness) that a character may have, despite the fact that he or she is a superhero! Well, perhaps a superhero. What are the chances? However, it already feels distinct from previous MCU efforts. I'm quite interested to see where this goes!"
9,"Well - I'm not one Episode in - but I enjoyed it - it's good. Let's see how it all plays out - but so far, do good. Oscar Isaacs is pulling it off - as well as Ethan Hawk - See where it goes from here!"
7,"Unless you're a die hard marvel fan that will literally watch every marvel stuff, the only reasons i can think of to watch Moon Knight is it's 'looks' great and Oscar Isaac. Great acting, his British accent isn't cringe and he looks mighty fine. As any marvel films/series, it's very visually driven, the rest, nothing much. The Series is okay so far, watchable but nothing extraordinary."
7,"Aside from the obvious faking of London locations which people who've never been to London won't notice, although why you would fake the National Gallery when the place would never have held the exhibition is anyone's guess this isn't as bad as I expected. Isaacs is quite good and so far the show hasn't clumsily done a bait and switch or introduced identity politics. Perhaps that is for next week. This is a Marvel show, after all. Ethan Hawke gets very little to do but hopefully that will change."
10,"This feels like walking into a conversation at a party kinda awkward, but after an hour and a nice buzz you're all of a sudden best friends with your new company. Oscar absolutely slays in this so far. I can't wait to see the beast unleashed like in daredevil and punisher. The best episode of literally anything I have seen in years. Lovin' it."
9,"Everbody who is somebody knows that Dale Carnegie says that to win friends and influence people one of the dire requirements is that one must be ""Lavish in his praise"" so I was p o'd when at 40'58"" the run credits only until 45'32"". Why so short? Skimping on the praise, like that? So disappointing, I gotta tell ya. Such misers, these people. Would it have kilt them to do an additional 5 minutes? I wouldn't be surprised if Oscar quits the just to show solidarity with his mates that didn't get their due. Too bad Will Smith is not in this one."
5,"Writing on this series needs work. The show deals with creepy elements such as the afterlife, Egyptian gods, and so on, but they're handled without the usual panache that makes those elements grab the viewer. We're two episodes in, and it's a mostly cut and dried ho-hum story with on-the-nose statements about what's happening."
8,"The first episode of Marvel's latest Disney+ series Moon Knight far exceeded my expectations . During its first 40 odd minutes, I was treated to a brilliant performance by Oscar Isaacs (with a cool British accent), captivating on-location photography and a gripping tale of mental anguish. It wasn't until the final five minutes that we get a glimpse of what this show is all about - another Marvel superhero flick with all the requisite Marvel CGIs and action scenes. Let's hope the next five episodes will focus on what makes this episode beyond great and less of the Marvel formula that we have become accustomed and subject to."
3,"I did not expect this to be great or even good, but it did surprise me with regards to the ways in which it was bad.

First and foremost, it was painful to watch Oscar Isaac struggle with a British accent.

I always thought of him as a decent actors, but he was so clearly uncomfortable trying to affect the accent that is made me uncomfortable.

Next, of course, was the very lackluster story development, which seems to be Disney's signature these days.

Compounding that was the very poor dialogue; even the casual banter was awkward and stilted.

Alas, the other problem was treatment of the hero.

The insistence on denigrating certain people and exalting others based purely on immutable traits like gender, race, and sexuality is impossible to ignore.

Ironically, it also has the opposite of its intended effect.

That is to say, the fact that the writers are trying to hard to shoehorn in certain ideologies is painful obvious and therefore rings false.

Consequently, instead of liking the characters you are being pushed to idolize, you end up disliking them, in this case, intensely.

One thing that saves a lot of Disney's Marvel offerings was absent from Moon Knight, humor.

The comedic elements that typically make these increasingly generic superhero shows somewhat tolerable was almost non-existent in this show.

Certainly attempts were made to inject mirth, but they failed, which in turn made watching this a very joyless experience.

In the end, all that was left to recommend Moon Knight were the sets and costumes.

Disney does not skimp when it comes to the look of its shows and films, so you do get visual interest.

Still, if I want to look at something pretty, I'd rather spend my time at an art museum where the creations have something Moon Knight sorely lacks: soul.

This latest Marvel series is simply devoid of anything remotely inspiring, which makes for a very sad viewing experience."
9,"I am a huge comic book fan. So finding out Moon Knight was getting a TV show was pretty cool. He was underrated in the marvel universe so I'm glad to see his recognition. The show is more violent let alone more bloody than anything the MCU has put out. And that is awesome to see. The character is funny like he is in the comics and it feels more like a movie than a TV show. The bad guy isn't super exciting but I'm sure as the series goes on he is better. Overall, I haven't been this excited for a marvel TV show since Wandavison."
8,"Was a half-hearted Moon Knight fan. Looking forward to following this series, but just a few things that bug me, especially for a newbie to this character.

First, why label it ""Dissociative identity disorder (DID)?"" Just call it it multiple personalities like everyone else. DC describes it as such in Doom Patrol. This is a TV show, not a course in psychology....so the guy has a couple of personalities. OK

Another bugger for the newbie. I read that Moon Knight was Marvel's equivalency to DC's Batman....and wish it was just as straightforward: Batman is a an iconic genius concept: kid watches parents' murder, creates the vigilante Batman to compensate for the psychological issues springing from this trauma. But nooooooo, Moon Knight's creators went out of their way to create a superhero that is actually the perfect subject for the the current Netflix-type companies that need to sell a half a dozen episodes to stream to entertain the masses, but OK with me.... I am have time...healing a wrenched knee. , good spring /summer fun show."
6,"It's a good premise, but the script was very lacking, and it felt like half a season premiere, they surely did better with Mandalorian and Loki, this was not in that level. We'll have to see how the season develops and I'll update the rating."
6,"After a promising start it seems in the second episode they will try to make fun of as many moments as they get.

Not natural fun of course. But shallow slapstick fun that plagues the mcu.

I'm hoping this will change. It has great potential to be both dark and funny. But keep it natural to the scene."
7,"So far only watched the first episode, and it's looking good.

It starts slow, very slow, but if you hang in there, you'll be rewarded with ever increasing pace in the narrative, including some unique car chase scene, and the first emergence of the Moon Knight.

VERDICT: It looks promising."
2,"Perhaps the series will get better as it progresses, but so far I'm not impressed with the split personality/dissociative disorder of the main character. It's just weird."
7,"I am not a fan of previous Disney+ Marvel shows because for me they were all pretty average but moonknight kept my interest in the first episode. The acting was really good especially from Oscar Issac. The visuals cinematography is also exciting with a good mix of mystery, thrill & horror.

Let's hope they don't mess it up like their previous shows. Looking forward to see more of this."
7,"I don't know anything about Moon Knight, I did not understand most of it but it's interesting and different.

I think the costume should have been less silly.

This doesn't feel like a comic book series more like The Mummy. If you liked The Mummy watch it!"
7,"First episode shows some real promise. Oscar and Ethan come across well and Oscar plays Steven Grant a like a mixture of Ricky Gervais from the Office and Frank Spencer. It's certainly not as formulaic and cliched as some recent Marvel TV offerings, and the dialogue is refreshingly void of the usual claptrap that plague Marvel/Disney stuff. I'll be back for episode 2."
7,"I was expecting more of a serious tone since kevin feige claimed this was going to be the most serious show yet. I was thrown off by how goofy it was which didn't ruin it for me but i feel as if a serious approach woulda worked better. I'm thinking since steven was in control then that's why it was goofy, once marc takes over for good then hopefully it gets better. I like the identity disorder plot but they didn't show any of it, the blacking out and having zero action felt cheap to me. The CGI was also pretty bad but i'm hoping most of the budget went to CGI for the moonknight sequences. It wasn't a strong start but there is potential. Hopefully no more steven cause that got old quick."
10,"I just finished watching the first episode (which was released yesterday), and I can confidently say that this TV series will become a huge hit... I was hesitant at first because Moon Knight is quite different from your typical superhero character, but probably this different flavor will be its strength... Can't wait & see how the plot develops."
10,"Marvel Studios has done it again. Over and over again they constantly and consistently turning out the highest product ever. DC and Warner Bros just can't figure it out. That these shows are more than fights and chases and costumes, It is people. It is being able to identify with the characters. It is even sympathizing with the ""villains."" And it is finding the best people in their fields to help make their shows.

Absolutely amazing. Unlike anything Marvel Studios has done with the MCU so far! The writing! The pacing! The mysteries! The acting!!! So edge of your seat. So intriguing! So Oh-My-God(s in this case) I-Have-To Wait A Week For The Next Episode!!! Oscar Isaac and Ethan Hawk were fantastic-but then Marvel has a way of attracted some of the best actors who are alive today. Don't miss this show! It is NOT your typical superhero show. As a matter of fact, I'm not sure what kind of show it is. Don't miss!"
8,"Went into this knowing absolutely nothing about Moon Knight, and was pleasantly surprised!

Intriguing, exciting, Oscar Isaac is a great lead and whilst only episode one is out it's a promising start.

One negative is that whilst it's set in London with a British main character, it's clearly made by someone who has no idea of English culture. Everyone talks like they're Michael Caine and uses British words completely out of context, like saying Cheers instead of goodbye.

Aside that though, great start! My favourite marvel show since Loki, recommend!"
10,This was on ever scale unimaginable amazing perfect plot perfect story flawless it's everything I've wanted and more cast is incredible and cannot wait for more.
7,"It is a puzzle, and each scene progressively gives you a pieve until the final scene has the episode making sense. I honestly have no idea who this character is but the actor (Oscar Isaac) gives a worthy acting performance that had me invested.

I am yet to read the aourcw material, but from what ive seen thus far, this show has so much potential and would have made an awesome Movie.

I follows a confused man with a form of split personality disorder only, one identity is a superheor or anti-hero and he doesnt even know it .

He is fighting for control of his own body and the struggle is shown through how he atruggles to control his own life. He is disfunctional and a mess with no hope but it seems the path laid out before him is unavoidable.

If you are looking for a show that tells a story, i suggest you jump on board.

I can only hope Marvel does not ruin this one as they seem to be unable to help themselves when it comes to ruining TV shows with great potential."
9,This has to be the best marvel tv show they have made i tried watching hawkeye and the others and i could not get past the first episode of any of them but this was funny had good action and good story so i will stick with it as long as they dont screw it up.
3,"There's no easy way to say this, but this is very well filmed and expensive looking schlock.

The excellent acting, production values and investing scenery doesn't help what essentially is a bad story. I'm not talking about the lazy, cliche'd screenplay, but the original material.

I haven't read the comic, and if you told me about it to encourage me to read it, I'd give it a hard pass, so I was reluctant to just dismiss the TV version outright, but he translation to TV medium doesn't improve it.

Sometimes things should stay a comic book."
8,"I'm an old school comic book fan with a huge collection and one of the very few fans of Moon Knight in the world. This series will likely change that.

Although I am a huge comic book historian and collector, Comic books are kind of terrible nowadays especially after Disney bought Marvel. I resent them for that and a million other things. They helped kill off comic books and Disney is pure evil all the time lately. I also dont care for Isaac much for his politics and his bad acting in Disney Star Wars as maybe gay boring pilot guy who we cant say is gay cuz China would get mad.

Anyways, all that considered, I still loved this episode which I pirated from Walt Disney the way he pirated German memorabilia. Things looked so bleak for any Disney MCU stuff post Avengers and I never really liked any of their TV shows. Agents of Shield started off strong the first few seasons then lost me, and I watched Cage for like 7 episodes. Daredevil seemed OK but didn't hook me. Loki was OK I guess, I like weird cosmic Marvel comics. Did one season of Legion mostly for Aubrey Plaza. Plain disliked everything else, but as a comics lover I have to at least look at all this stuff. Moon Knight has potential to be their best TV show ever and I think it could work even if people aren't super into superheroes. Best first episode they've done at Disney Marvel. Loved the way they handled the character, kind of introducing him backwards to a new audience. As a comics nerd it works perfect but it should be pretty trippy for normal folks too. Excited to see where it goes when the next stream comes up. Hope it holds up and gets even weirder with the split personality aspects. The two leads did a great job here too, I like how it focused mostly on them and didn't boggle it up with too much side mess. If somebody who despises modern Disney as much as me can admit its good, you'll probably dig it more."
9,"Like with other TV shows, I will adjust the rating as the show progresses.

This being out of the way, I really like the show so far. I am not familiar with the Moon Knight comic character, therefore I can have a fresh perspective. Unlike others here I don't have an issue with missing profanity or Isaac's British accent. I think both the writers and Isaac are doing a pretty good job. Also the director is dong a great job in visually telling the story.

Really looking forward where this show is going. It has some Venom vibes, just better."
9,"In terms of conception, talent, writing, cinematography, originality and sheer chutzpah, this is the best Marvel character put on the screen since Daredevil. Oscar Isaac is spectacular as he carries the first episode single handedly. Marvel steps beyond the spandex wrestling into new realms of mythical storytelling, first with The Eternals and now with Moon Knight. It had to happen as it gives much needed new life to the superhero genre. Give us more!"
9,"Honestly, Moon Knight could be it's own set of movies but I have a feeling a series will do more than justice for the character. I am glad the show has a more mature approach to the story telling, there's less hand holding at least from what I could tell in Episode 1 and that's a good thing! Looking forward to the rest of the series!"
8,"I'm hesitant about where this series will go, but look forward to seeing where it does. That is thanks to Oscar Isaac, who had a terrific first episode.

Split personality is tough to pull off effectively, and also risks one character being much more likeable than the other. Oscar did a good job with Steven, and if they pull of Marc well, then this could be one of Marvels best!

A well executed first episode that has me wanting more!"
10,Finally the plot set ! The foundation is built. Episode is superb in establishing the multiple personality disorder of Steven and his problems. Now from the second episode it will gear up!
7,"Not sure why, but I was expecting a movie. Not a series. I'm glad it's the latter though because there seems to be greater detail with this than I'd ever imagined.

1st episode was back and forth so much. I can only presume there is an elongated back story that will probably take 3 episodes to get a flow going.

As a non comic book addict. I have entered this adventure wide eyed and without expectation.

So far so good. I'll give it a shot for its outstanding production aesthetics alone."
9,"Moon Knight delivers on superb storytelling, fantastic acting, unique action/dark humor, and more. Oscar Isaac kills it as Moon Knight/Mark, Stephen, Ethan Hawke is a convincingly sinister (pun intended) villain, and the camera angles are just perfect. After the pilot ended I was upset that viewers have to wait a week because it was just that strong of a start to this new MCU series."
7,"Superheroes in Marvel have become like Pasta, they serve you Macaroni, Spaghetti, Cannelloni, Ravioli.. sometimes with Red sauce sometimes Green And White sauce this time around And If you are not a fan You can try the varieties atleast even for a bite of each But imagine you are a fan of pasta you will have it for the whole week happily, can even make it work for a month with different servings But the question is Can You Survive on Pasta and Pasta ONLY FOR A WHOLE YEAR?? The Answer for the Most would be NO!!

So That's how I have been feeling watching some recent Marvel shows and movies and Moon Knight was no different except they gave the protagonist DID. All the Personality Change cuts the mystery they tried to create around the central character felt made up and the supporting characters were nothing new we have already seen Like Sarcastic Boss, Mysterious Ally... even the wits fell flat with the cheeky dialogues.

But I will tell you where Marvel is actually falling short and That is the Villain Section. The Only Villain MCU successfully developed in more than 2 decades is Thanos And that says a lot about Marvel how they are churning on their heroes but it won't be long before getting rejected if they don't start working on their weakness and keep repeating Heroes storyline with cheeky shows like Ms Marvel in cannon.

High Time to Get your Own JOKER marvel!!"
9,"We're only two episodes in and it's brilliant. The only problem I have found is that they are pretending Steven Grant is the ORIGINAL persona as opposed to an adopted one while Marc Spector is the actual persona... technically he has four, including the billionaire who funds their superhero antics. The theatrics are great, the acting by Oscar Isaac is superb, Khonshu is not only done well but pretty comedic. While I know that his character isn't going to be used in the Avengers, it is worth noting that his immortality while being Knoshu's avatar meant that he defeated ALL of the Avengers at one stage... It is a pleasure to watch this."
8,"I have absolutely no prior knowledge of Moon Knight, I'd never heard of it until I saw it on Disney+ and decided to watch, so my review is based solely on the two episodes I've seen.

Firstly it's worth mentioning I'm not a big Marvel fan. My idea of a good superhero instalment would be 'The Boys' - which kind of pokes fun at the superhero franchise (100% recommend).

However I've really enjoyed this so far. Oscar Isaac nails his version of a bumbling British history nerd (voice not dissimilar to Lou, Andy Pipkins carer in Little Britain lol), who is living with two other personalities inside his head and who occasionally take 'control' of him.

Cool concept. Big budget. Interesting characters (well acted) so far. Looking forward to seeing where this goes."
6,"Most of it was pretty mid. Oscar Isaac is great, Ethan Hawke is straight up bad. Some inconsistencies with the writing. Will update as the series goes along but so far it's nothing special."
10,"I was so happy with how they introduced the concept of multiple personalities for Moon Knight. Basically every film or show you see where someone has DID, they're either always aware or we see them go from ""I'm Sally"" straight to ""I'm Bob"". For those unfamiliar with the character, they wouldn't know what's going on until Steven knew what was going on.

What a fresh take.

What's also nice to see is they're not as worried about it being higher-rated in terms of people dying or getting killed with a man's fist, but they're also not going overboard. They're tackling mental illness in a spectacularly insightful way. They're honouring an interesting character who isn't always treated as good in the comic world, and it genuinely doesn't seem as predictable as previous Marvel TV series. Do we know where everything is going? Not yet because they don't want us to. An exciting feeling to have while watching.

Even my dad (+60) keeps telling me how exciting that first episode was. The whole family loves it."
8,"As a lifelong fan of the Moon Knight comic books I was excited to see that they were finally adapting this character for screen, though I was also mildly disappointed by the fact that it was going to be a Disney+ original series instead of a feature length film like I think this character deserves. Though I also understand that Moon Knight is historically not as popular a character as some of the other marvel heroes such as Spider-Man, or Iron Man. So I suppose it makes sense that studio execs would be hesitant to spend the money necessary for a feature length film.

Being an original series aside however, Moon Knight looks much more cinematic than one would usually expect from a show kin to television which was a huge relief to me because I tend to greatly dislike the cheap quality of television in terms of the general look and feel of things. The show has a dark, almost Batman like quality (which I don't think was an accident) and has very snappy, deliberately disjointed editing to really help us get in the head of Steven Grant.

Steven Grant is a troubled individual who works in a kind of natural history museum's gift shop. He clearly has a significant interest and nack for Egyption history that his boss refuses to see. Steven also feels the need to tie himself up in bed and take other various precautions because when he falls asleep he tends to wake up in other parts of the world or in awkward confusing situations. This episode is mostly an expository episode where we learn about the character Steven and his alter-ego(s).

Oscar Isaac does a great job portraying this character and looks like he is completely sleep deprived and stressed out all the time. This first episode we only see Isaac play Grant and very briefly play Spectre. These two characters obviously being very different from one another, I'm excited to see how Isaac does transitioning between an innocent and shy gift shop clerk to a ruthless mercenary in future episodes.

Ethan Hawke is in it as well as some kind of cult leader that judges people's characters by what they will be in the future as opposed to who they are in the present or what they have done in the past with dire consequences if being found guilty. Again, this opens up some doors to interesting moral questions that can be addressed in future episodes. Is this minority-report-esque future judgment the right thing to pursue? Is it moral to kill baby Hitler? I think this take can certainly go interesting places, especially in a show about a hero of dubious morals such as Moon Knight.

So far the series has plenty of interesting visuals and creative decisions to keep me interested in continuing watching the series. I'm Looking forward to seeing where they take the series in the coming episodes."
9,"Just goes to show how utterly dreadful the SW sequels were that they made him look one dimensional and cheesy. The guy can act, great that everyone gets to see it now. Wonder if Jar Jar Abrahams has bothered watching yet...

Cracking show so far."
10,"First episode was amazing Oscar was the perfect casting role for moon knight,probably the beat first episode for a Disney plus show or for a marvel show."
10,"The confusion, the Horor touch, , the bgm, the scenes, the mystery, everything maintained till end. Thanks Director and Kevin Feige and everyone involved in this series. Waiting for episode 2 eagerly. A must watch."
8,"The execution of this show is garbage. I'm very familiar with the character and while the costume is perfect the way they executed everything else is terrible. Oscar Issac's nebbish choice is beyond cliche. And ""the voice in his head"" sounded like Tom Hardy came in to redo his Venom voice overs. It's Khonshu an Egyptian God, not Keith David. Maybe it'll get better, but anyone giving this high marks is ignorant to Marvel comics."
4,"I have seen too many products with someone who has multiple personalities and they manifest into the primary character and they are never done well. Too bad, I really like Oscar Isaac."
9,"We all feel like Steven with a V and want to be like Marc dealing with all the crap in the world.

Great action, and character development from the get go. Woo haaa! Yes!"
8,I wasn't familiar with Moon Knight as it is newer a Marvel character but I really enjoyed this first episode. Oscar Issac does an excellent job as he always does to make you care for his character and you experience his confusion and disorientation at it is happening. Good job so far I hope they can keep it up.
6,"This show has been so boring only 2 episodes in so I'm gonna stick around but I was expecting a lot more. It's slow, the fights are hardly ever shown and when they are parts are cut out to make the creatures invisible and him look like an idiot which should be funny but it's really not I mean I thought this would be insane and hilarious but so far it's been slow and boring and with these marvel shows only being 6 episodes slow and boring is not what you want."
6,"Sony made Venom and showed Marvel great ideas. A little violent insanity, in the conscious-subconscious, when subjected to a protagonist, synthesizes beautifully to make an anti-hero, and compels an audience to judge an underdog as an entertaining, rare anomaly, aka, a super hero. Now, Marvel, as with many re-invented DC stories, seeks to monetize a reboot-sort of model. As a lover of Marvel, this is sadly disappointing. But at least I haven't had to see Stan Lee appear as a God in this one...yet...."
9,I've only seen the first episode.. and "gods" damnit am I excited for more. Oscar isaak was born for Oscars. Showing any kind of multiple personalities disorder is an actors dream role. He does a really good job and the show all around is super tight.
8,"What the devil is it? I'm not at all sure, but whatever it is or will be, I'm in! For the first time in a long time I actually had to pay attention. God I hope the rest of the series maintains the openings frenetic pace."
4,"Grade C. Good and bad with this one. This gentleman from Star wars is a good actor and he has good facial expressions so he plays the role well and the cinematography is good however, no other characters have development so it's just him. Either you like him or you don't. Also most importantly... A good movie must have a good villain. That's why""the Batman"" is the best movie out there because of the Riddler and the penguin are amazing. This movie's villains are... Well who knows it's not really clear. That hurts it significantly. Watch this one on a Tuesday night. Save ""the Batman"" for a Saturday night."
10,"After so many tv shows now marvel bring something fire for us.... Moon Knight is bigger than Loki.... Only two greatest shows ever produced by marvel rest of them are crap, garbage for kids level minds."
6,"Has potential, and I want to like it, but if Isaac's British accent is meant to be believable... well it's not Mary Poppins bad, but Disney certainly didn't ask any natives.

Will decide after ep2."
3,"So far basically this series is about as interesting as watching paint dry. The censorship ship that they use and in this particular marvel series eliminate the violence completely, makes this really hard to stay interested. Probably 1 of the worst marvel series I've ever seen but so far but all of them have been bad lately. I feel bad for our future generation to have to weed through all of this garbage marvel crap to find one decent series out there... if it ever comes."
8,"I wasn't looking forward for series but i didn't regret to check it out , it's pretty decent first ep looking forward where story'll go, i guess lots of 1 star reviews are from people who cant aknowledge some events in history xd."
7,Seems to be standard marvel fair. Got good action and some funny bits and I'm sure I'll watch the whole series BUT the CGI is terrible and why is Poe Dameron doing a really bad impression of Ricky Gervais? Even Dick Van Dyke would have cringed at the accent.
5,"Moon knight.

The latests of Disneys MCU mini series.

We open with a slap in the face sing and cliche meet John Doe.

But seriously.

We follow Steven grant a lowly museum worker who beyond his quirky personality lies a dark secret.

We get tossed around scenes with choppy camera work and sudden scene transitions.

But through this we get a half hearted attempt for a story. (Or at least pilot episode)

Pros.

Oscar Issacs performance and line delivery was quite good, and he even had some emotional impact on us as an audience.

We get to see and enjoy some beautiful reflection shots and artistic still frames.

There a reasonable amount of entertainment while watching this episode.

Cons The animation is very poor, and goofy looking.

The writing is cheesy and nonsensical.

Directing is very amateurish.

The villains are cheesy and annoying. Not knowing how to deliver a line, much less know how to move.

The sound quality was rather muffled and difficult to hear throughout. And the music posed as distracting and obnoxious.

All in all it wasn't the worst.

And it's only the first episode.

So for now I'd give it 5.0

I give this film a PG rating for some mild cussing and violence."
10,I see many review of people not love this episode.. it's the first one i think the remaining is awesome ????and the music is very good i can listen it in any time.
8,Watched 1st episode...and after watching it...i want to say that it was an awesome experience watching it...oscar isaac plyed the character of moon knight very well and it looks like he was born to play the character of moon knight... nobody can replace him as moon night..??..in other hand the episode is quite confusing..but i'm damn sure the series will be very impressive in the other episodes... waiting for next episodes.. overall a great start...??
10,"Being completely unfamiliar with this Marvel character and having disliked most of the movies that Oscar Isaac has starred in, sorry Oscar, I didn't think I would like this series. But Oscar Isaac is perfectly cast in this complex lead role. Given the fact that the first episode of this series focuses almost entirely upon Oscar Isaac's lead character, without an exceptional actor this series could not succeed. The casting, writing, direction, production values and CGI are all first-rate, as usual for a Disney+ production. I don't usually given a 10 out of 10 as a rating, but everything about the first episode was executed so well, I think it's deserved. I'm really looking forward to seeing where this character goes, which is precisely what the first episode of a series should accomplish."
